route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
COUX-PRIVAS,T-CAP,LE,"LIGNE E COUX Place Onclaire - COUX Centre -PRIVAS Collège",,3,,299a04,f9f9f9
L01,T-CAP,LR01,"LIGNE 01 ST SAUVEUR DE MONTAGUT - LES OLLIERES -LE CHAMBON DE BAVAS-LYAS-COUX-PRIVAS",,3,,7fb3d5,FFFFFF
L02A,T-CAP,LR02,"LIGNE 02 BEAUCHASTEL-SAINT LAURENT DU PAPE-LA VOULTE-LE POUZIN-VALLEE DE L'OUVEZE-PRIVAS",,3,,f39c12,FFFFFF
L02B,T-CAP,LR03,"LIGNE 03 FLAVIAC - ST JULIEN EN ST ALBAN - LE POUZIN College",,3,,00ff3c,FFFFFF
L02C,T-CAP,LR04,"LIGNE 04 PRIVAS-ALISSAS-CHOMERAC-LE POUZIN- LA VOULTE Collège",,3,,fd8740,FFFFFF
LA,T-CAP,LA,"LIGNE A PRIVAS Chaumette-PRIVAS Zone du Lac- PRIVAS College",,3,,00FF00,FFFFFF
LB,T-CAP,LB,"LIGNE B CHOMERAC-ALISSAS-PRIVAS",,3,,0000FF,FFFFFF
LC,T-CAP,LC,"LIGNE C VEYRAS-PRIVAS",,3,,FF0000,FFFFFF
LD,T-CAP,LD,"LIGNE D ST PRIEST-PRIVAS",,3,,FF00FF,FFFFFF
LIGNE-G-PRANLES-PRIVAS,T-CAP,LG,"LIGNE G PRANLES-LYAS-COUX-PRIVAS",,3,,ff0058,ffffff
NAVETTE-LA-NEUVE,T-CAP,NEUVE,"Navette PRIVAS Cours du Palais - LYAS Site de La Neuve",,3,,4eff00,fffbfb
PRIVAS-COURS-DU-PALAIS-PRIVAS-HOPITAL,T-CAP,LF,"LIGNE F PRIVAS Cours du Palais-PRIVAS Ehpad Le Montoulon-PRIVAS Hôpital",,3,,e90d59,fbfbfb
