agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,4-205,4,"St-Georges / St-Joseph – Bellevue-Hauts de C.",,3,,009640,FFFFFF
1,5-205,5,"Gazonfier - Oasis-Centre des Expositions",,3,,FCBC06,000000
1,6-205,6,"République - St-Martin",,3,,C3057F,FFFFFF
1,7-205,7,"Éperon par Auchan",,3,,F07D1B,000000
1,10A-205,10A,"Oasis-Centre des Exp. par Pontlieue et Glonnières",,3,,EB5E1D,000000
1,10B-205,10B,"Oasis-centre des Exp. par Glonnières et Pontlieue",,3,,EB5E1D,000000
1,11-205,11,"Le Cadran/St-Aubin - Closerie",,3,,FBBA00,000000
1,12-205,12,"Domaine de Beauregard - Zamenhof",,3,,C11718,FFFFFF
1,13-205,13,"Gare Routière - Arnage-Hôtel de Ville",,3,,923189,FFFFFF
1,14-205,14,"Parc Manceau - St-Martin",,3,,6DC7DD,000000
1,15-205,15,"Le Verger - Guetteloup",,3,,009FE3,000000
1,16-205,16,"Lafayette - Lycée Sud",,3,,27348B,FFFFFF
1,17-205,17,"Gallière - Mairie",,3,,569E33,FFFFFF
1,20-205,20,"Éperon - Aigné",,3,,AC338A,FFFFFF
1,21-205,21,"St-Martin - Arnage-Hôtel de Ville",,3,,AAD092,000000
1,22-205,22,"Sargé-lès-Le-Mans par Zamenhof",,3,,86A8D8,000000
1,23-205,23,"République - Yvré-l'Évêque",,3,,E21018,FFFFFF
1,24-205,24,"Antarès MMArena - Mulsanne",,3,,91C043,000000
1,25-205,25,"République - Champagné",,3,,0F8184,FFFFFF
1,26-205,26,"St-Georges / St-Joseph - Allonnes",,3,,F6A554,000000
1,27-205,27,"Mairie Ruaudin - Antarès MMArena",,3,,BE3C2D,FFFFFF
1,28-205,28,"Four à Chanvre - Rouillon",,3,,614E9B,FFFFFF
1,30-205,30,"Gare Sud - Les Croisettes",,3,,F29FC5,000000
1,31-205,31,"Malpalu - EHPAD",,3,,994263,FFFFFF
1,32-205,32,"Gare Sud - Stade Asnillé/Église Fay",,3,,E71D73,FFFFFF
1,33-205,33,"La Denisière - Université",,3,,1FADAA,FFFFFF
1,34-205,34,"C.C St-Georges-du-Bois - Gare Sud",,3,,A52468,FFFFFF
1,35-205,35,"Gare Sud - Sécurité Sociale",,3,,0E8C8D,FFFFFF
1,100-205,100,"Grand Rolland - Collège Les Mûriers",,3,,009640,FFFFFF
1,101-205,101,"Aigné - Collège Les Mûriers",,3,,F298C0,000000
1,102-205,102,"Aigné - Collège La Madeleine",,3,,706F6F,FFFFFF
1,103-205,103,"Aigné - Lycée Sud",,3,,F9AF23,000000
1,110-205,110,"Mulsanne - Sainte Hélène",,3,,36A9E1,000000
1,111-205,111,"Mulsanne - Lycée Bellevue",,3,,F39200,000000
1,112-205,112,"Mulsanne - Lycée Claude Chappe",,3,,00A690,FFFFFF
1,113-205,113,"Les Landes - Collège Les Sources",,3,,E40428,FFFFFF
1,120-205,120,"Champagné - Lycée Washington",,3,,A3195B,FFFFFF
1,121-205,121,"Champagné - Lycée Montesquieu",,3,,1C8385,FFFFFF
1,122-205,122,"George Sand - Parence - George Sand",,3,,BA1818,FFFFFF
1,130-205,130,"Sargé-lès-Le-Mans - Collège La Psallette",,3,,96B0DC,000000
1,131-205,131,"Bellevue Hauts de Coulaines - Campus Ribay",,3,,F0762B,000000
1,140-205,140,"Berardières - École Lyautey",,3,,FCBC00,000000
1,141-205,141,"Tourellerie - Col. Vieux Colombier/St Joseph",,3,,E71D73,FFFFFF
1,142-205,142,"Lycée André Malraux - Tourellerie",,3,,89D0F5,000000
1,150-205,150,"C.C. St-Georges-du-Bois - Collège Kennedy",,3,,35417C,FFFFFF
1,151-205,151,"C.C St Georges-du-Bois - Lycée St-Joseph",,3,,F9AF0E,000000
1,152-205,152,"Église Fay - Lycée Malraux",,3,,C54190,FFFFFF
1,153-205,153,"Les Gravillons - Col.Vieux Colombier",,3,,4DB05B,FFFFFF
1,154-205,154,"Route de Fay - Collège Vieux Colombier",,3,,E51A33,FFFFFF
1,155-205,155,"Les Gravillons - Col.Ambroise Paré",,3,,E83E2E,FFFFFF
1,156-205,156,"Ancien Étang - Col.Ambroise Paré",,3,,83162A,FFFFFF
1,160-205,160,"Foresterie - Collège Épine",,3,,F39200,000000
1,161-205,161,"Foresterie - École Louise Labé",,3,,E30613,FFFFFF
1,162-205,162,"Éperon - Ste-Catherine",,3,,2B4C9B,FFFFFF
1,163-205,163,"Gare Routière - Ste-Catherine",,3,,B17F4A,FFFFFF
1,164-205,164,"Gare Routière - Lycée St-Joseph",,3,,0DAE8D,FFFFFF
1,BSR1-205,BSR1,"Bus Relais",,3,,EE7F00,000000
1,BSR2-205,BSR2,"Bus Relais",,3,,007499,FFFFFF
1,M-205,M,"La Mancelle",,3,,E7303A,FFFFFF
1,T1-148,T1,"Antarès MMArena - Université",,0,,E5261D,FFFFFF
1,T2-148,T2,"Espal - Bellevue-Hauts de Coulaines",,0,,0059A6,FFFFFF
1,T3-205,T3,"Allonnes-Bois Joli - Gares",,0,,5FB34C,FFFFFF
1,TAD1,Résa+,Résa+,,3,,5D9331,FFFFFF															 
