route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
519,1,36,Lusignan-Poitiers,,3,49A049,FFFFFF
465,1,S75,Scolaire S75,,3,A05A00,FFFFFF
514,1,S900,Scolaire S900,8,3,7F7F7F,FFFFFF
515,1,S901,Scolaire S901,15,3,7F7F7F,FFFFFF
517,1,S903,Scolaire S903,4,3,7F7F7F,FFFFFF
518,1,S904,Scolaire S904,14,3,7F7F7F,FFFFFF
508,1,S94,Scolaire S94,,3,7F7F7F,FFFFFF
150,2,27,Galeries Sud-Milétrie Rond Point,22,3,A1BCC6,000000
166,1,28,Fontaine Mairie-Ecossais,23,3,9D6331,FFFFFF
151,1,29,Vouneuil Boivre-Pétonnet Hulin,24,3,69B642,FFFFFF
226,1,31,Béruges-Pétonnet Hulin 2,9,3,07AD98,FFFFFF
520,1,33E,Chauvigny-Poitiers,,3,B77254,FFFFFF
165,2,25,Chantejeau-Ecossais,20,3,EEA829,000000
234,1,35,Dissay-Poitiers,,3,719B68,FFFFFF
152,1,22,Montamisé Fousserettes-Notre Dame,17,3,837438,FFFFFF
232,1,33,Chauvigny-Poitiers,,3,A4502B,FFFFFF
199,2,S43,Scolaire S43,,3,FF3737,FFFFFF
473,1,FU03,Navette Gare du Futuroscope-Centre Equestre,,3,EC6608,FFFFFF
347,1,S411,Scolaire S411,,3,B87991,000000
335,1,S412,Scolaire S412,,3,B87991,000000
457,1,S453,Scolaire S453,,3,B87991,000000
160,1,17,AFT Le Carreau/Pôle République-Vouneuil Nougeraie,14,3,C1934F,000000
453,1,AR05,Navette Les Arènes-AFT Le Carreau,,3,EC6608,FFFFFF
114,1,1,Milétrie Patis-Futuroscope LPI,,3,00A3DB,FFFFFF
535,1,P11,Primaire 11 Rouillé Circuit 5,,3,C71553,FFFFFF
72,1,P20,Primaire 20 Montamisé,,3,C71553,FFFFFF
533,1,S21,Scolaire S21,,3,1EC7FF,000000
534,1,S210,Scolaire S210,,3,EA504C,000000
513,1,S45,Scolaire S45,,3,FF0000,FFFFFF
512,1,S45a,Scolaire S45a,,3,FF0000,FFFFFF
532,1,S76,Scolaire S76,,3,A05A00,FFFFFF
516,1,S902,Scolaire S902,24,3,7F7F7F,FFFFFF
510,1,S91,Scolaire S91,246,3,7F7F7F,FFFFFF
509,1,S92,Scolaire S92,,3,7F7F7F,FFFFFF
507,1,S93,Scolaire S93,,3,7F7F7F,FFFFFF
537,2,fBea,flex'e-bus Beaumont,,3,FF87D6,000000
525,2,fBig,flex'e-bus Bignoux,,3,FF87D2,000000
522,2,fBon,flex'e-bus Bonnes,,3,FF87D2,000000
528,2,fCel,flex'e-bus Celle l'Evescault/Cloué,,3,FF87D2,000000
541,2,fDis,flex'e-bus Dissay,,3,FF87D6,000000
536,2,fJau,flex'e-bus Jaunay-Marigny,,3,FF87D6,000000
524,2,fLac,flex'e-bus La Chapelle M./Liniers/Lavoux,,3,FF87D2,000000
523,2,fPou,flex'e-bus Pouillé/Tercé/Savigny L'Ev.,,3,FF87D2,000000
521,2,fPuy,flex'e-bus La Puye/Ste Radegonde,,3,FF87D2,000000
526,2,fRou,flex'e-bus Rouillé,,3,FF87D2,000000
527,2,fSan,flex'e-bus Sanxay/Curzay/Jazeneuil,,3,FF87D2,000000
538,2,fSgx,flex'e-bus St Georges les Baillargeaux,,3,FF87D6,000000
529,2,fStS,flex'e-bus St-Sauvant,,3,FF87D2,000000
3,1,2A,Pictavienne - 2A,2,3,FF0000,FFFFFF
4,1,2B,Pictavienne - 2B,3,3,D71F26,FFFFFF
1,2,11,Migné Rochereaux-Laborit/Mignaloux,8,3,90277D,FFFFFF
467,1,AR03,Navette Les Arènes-Alienor d'Aquitaine,,3,EC6608,FFFFFF
475,1,AR02,Navette Les Arènes-St Jacques-Kyoto,,3,EC6608,FFFFFF
478,1,S151,Scolaire S151,,3,AAB500,FFFFFF
466,1,S154,Scolaire S154,,3,AAB500,FFFFFF
221,1,S23,Scolaire S23,,3,1FC7FF,000000
498,1,S37,Scolaire S37,15,3,00C87D,FFFFFF
446,1,S68,Scolaire S68,,3,FFAA5F,000000
450,1,S78,Scolaire S78,,3,A05A00,FFFFFF
485,1,JM11,Navette Collège St Exupery-Sacré Coeur,,3,EC6608,FFFFFF
349,1,P02,Primaire 02 Rouillé circuit 2,,3,C71553,FFFFFF
353,1,P03,Primaire 03 Rouillé circuit 3,,3,C71553,FFFFFF
350,1,P04,Primaire 04 Rouillé circuit 4,,3,C71553,FFFFFF
351,1,P05,Primaire 05 Jazeneuil,,3,C71553,FFFFFF
352,1,P06,Primaire 06 Jazeneuil/Curzay/Sanxay,,3,C71553,FFFFFF
354,1,P07,Primaire 07 Celle L'Evescault/Cloué,,3,C71553,FFFFFF
355,1,P08,Primaire 08 Celle L'Evescault,,3,C71553,FFFFFF
21,1,S17,Scolaire S17,,3,0064C8,FFFFFF
323,1,S209,Scolaire S209,,3,EA504C,000000
372,1,S251,Scolaire S251,,3,EA504C,000000
370,1,S252,Scolaire S252,,3,EA504C,000000
155,1,15,Pétonnet Hulin 1-Centre Equestre,12,3,9EC83F,000000
490,1,FU04,Navettes Futuroscope-Kyoto,,3,EC6608,FFFFFF
225,1,O,La Boucle du Centre-Ville,8,3,E94282,000000
500,1,P01,Primaire 01 Rouillé circuit 1,,3,C71553,FFFFFF
499,1,P21,Primaire 21 Jaunay Marigny 1,,3,C71D53,FFFFFF
488,1,P22,Primaire 22 Jaunay Marigny 2,,3,C71D53,FFFFFF
493,1,P23,Primaire 23 Mignaloux B. 1,,3,C71553,FFFFFF
494,1,P24,Primaire 24 Mignaloux B. 2,,3,C71553,FFFFFF
495,1,P25,Primaire 25 Ligugé,,3,C71553,FFFFFF
487,1,S174,Scolaire S174,,3,AAB500,FFFFFF
492,1,S19,Scolaire S19,,3,0064C8,FFFFFF
497,1,S3,Scolaire S3,246,3,FF87E1,000000
501,2,S31b,Scolaire S31b,,3,00C87D,FFFFFF
503,2,S32b,Scolaire S32b,,3,00C87D,FFFFFF
191,2,S38,Scolaire S38,,3,00C87D,FFFFFF
374,1,S454,Scolaire S454,,3,B87991,000000
489,1,S455,Scolaire S455,,3,B87991,000000
491,1,S456,Scolaire S456,,3,B87991,000000
196,1,S71,Scolaire S71,,3,A05A00,FFFFFF
214,1,S72,Scolaire S72,,3,A05A00,FFFFFF
171,2,fBM,flex'e-bus Breuil Mingot,,3,FF87D2,000000
172,2,fBer,flex'e-bus Béruges,,3,FF87D2,000000
175,2,fBia,flex'e-bus Biard,,3,FF87D2,000000
178,2,fBux,flex'e-bus Buxerolles,,3,FF87D2,000000
169,2,fCha,flex'e-bus Chasseneuil,,3,FF87D2,000000
181,2,fFon,flex'e-bus Fontaine,,3,FF87D2,000000
173,2,fLig,flex'e-bus Ligugé,,3,FF87D2,000000
179,2,fMA,flex'e-bus Migné-Auxances,,3,FF87D6,000000
176,2,fMB,flex'e-bus Mignaloux Beauvoir,,3,FF87D2,000000
168,2,fML,flex'e-bus Vouneuil Nord,,3,FF87D2,000000
170,2,fMon,flex'e-bus Montamisé,,3,FF87D2,000000
177,2,fSBt,flex'e-bus Saint-Benoît,,3,FF87D2,000000
180,2,fVou,flex'e-bus Vouneuil Sud,,3,FF87D2,000000
506,1,S10a,Scolaire S10a,,3,0064C8,FFFFFF
452,1,AR01,Navette Les Arènes-Dolmen-Centre Equestre,,3,EC6608,FFFFFF
470,1,BA01,Navette Bois d'Amour-Aliénor d'Aquitaine (Rondy),,3,EC6608,FFFFFF
379,1,BA02,Navette - Bois d'Amour-Futuroscope LPI,,3,EC6608,FFFFFF
471,1,FU01,Navette Gare du Futuroscope-Isaac de l'Etoile,,3,EC6608,FFFFFF
472,1,FU02,Navette Gare du Futuroscope-Pôle Multimodal,,3,EC6608,FFFFFF
348,1,P10,Primaire 10 Lusignan,,3,C71553,FFFFFF
