route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
01,9,"F1","Plaine de la Ronce <> Stade Diochon",3,E6007E,,
02,9,"F2","Centre commercial de La Vatine <> Tamarelle",3,A2559D,,
03,9,"F3","Hôtel de Ville de Sotteville <> Tourville-la-Rivière",3,F5C500,,
04,9,"F4","Hameau de Frévaux <> Mont-Riboudet",3,EB6408,,
05,9,"F5","Théâtre des Arts <> Lycée Galilée",3,AFCA0B,,
06,9,"F6","Les Bouttières <> Gare de Saint-Etienne",3,0090D7,,
07,9,"F7","La Pléiade <> Hôtel de Ville de Sotteville",3,008F5B,,
08,9,"F8","Lycée du Cailly <> Tamarelle",3,0090D7,,
09,10,"F9","Champ de Foire <> Théâtre des Arts",3,248BCB,,
10,9,"10","Maromme La Maine <> Lycée Flaubert",3,F8AE4C,,
100,10,"100","Champ de Foire <> Pôle Multimodal d'Oissel",3,FDC300,,
101,10,"101","Champ de Foire <> Pôle Multimodal-Cotoni",3,FDC300,,
102,10,"102","Champ de Foire <> Beau Site",3,FDC300,,
103,10,"103","Collège Cousteau <> Parc Saint-Cyr",3,FDC300,,
104,10,"104","Collège J. Brel <> Casanova",3,FDC300,,
106,10,"106","Collège J. Brel <> Beau Site",3,FDC300,,
11,9,"11","Collège L. de Vinci <> Ile Lacroix",3,009CD1,,
13,9,"13","Martainville <> Ecole de Musique",3,F8AE4C,,
14,9,"14","Mont Pilon <> Mairie de Belbeuf",3,009CD1,,
15,9,"15","Jules Verne <> Grand Val",3,74B95B,,
20,9,"20","Le Chapître <> Mairie de Saint-Aubin-Epinay",3,C09ECA,,
201,11,"201","Rue d'Hectot / Salle des Fêtes <> Collège Gustave Flaubert",3,FDC300,,
202,11,"202","Le Maupas - Ferme du Tronc <> Collège Gustave Flaubert",3,FDC300,,
203,11,"203","L'Orvason <> Collège Gustave Flaubert",3,FDC300,,
204,11,"204","Bois de la Fontaine <> Collège Gustave Flaubert",3,FDC300,,
205,11,"205","Le Paulu - Usine Oxford <> Collège Gustave Flaubert",3,FDC300,,
206,11,"206","Rue Saint-Jean <> Collège Gustave Flaubert",3,FDC300,,
