route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
01,5,1,Ligne 1,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,e2001a,ffffff,1
02,5,2,Ligne 2,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,2699d1,ffffff,2
03,5,3,Ligne 3,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,a3c653,ffffff,3
04,5,4,Ligne 4,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,ee7f00,ffffff,4
05,5,5,Ligne 5,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,9d4c94,ffffff,5
06a,5,6a,Ligne 6a,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,e75294,ffffff,6
06b,5,6b,Ligne 6b,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,e75294,ffffff,7
07,5,7,Ligne 7,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,00925b,ffffff,8
08,5,8,Ligne 8,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,c19831,ffffff,9
10,5,10,Ligne 10,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,172983,ffffff,10
11,5,11,Ligne 11,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,6cbb93,000000,11
12,5,12,Ligne 12,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,ee737a,ffffff,12
20,5,20,Ligne 20,,3,https://www.kiceo.fr/carte-interactive-lignes-periurbaines,d23f52,ffffff,13
21,5,21,Ligne 21,,3,https://www.kiceo.fr/carte-interactive-lignes-periurbaines,53ad57,ffffff,14
22,5,22,Ligne 22,,3,https://www.kiceo.fr/carte-interactive-lignes-periurbaines,006a2a,ffffff,15
23,5,23,Ligne 23,,3,https://www.kiceo.fr/carte-interactive-lignes-periurbaines,ad007c,ffffff,16
24,5,24,Ligne 24,,3,https://www.kiceo.fr/carte-interactive-lignes-periurbaines,df94b4,ffffff,17
25,5,25,Ligne 25,,3,https://www.kiceo.fr/carte-interactive-lignes-periurbaines,009fe3,ffffff,18
Afte,5,AFTB,After Bus,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,622181,ffffff,19
D1,5,D1,D1,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,635e62,ffffff,20
D2,5,D2,D2,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,9b9399,ffffff,21
D3,5,D3,D3,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,004040,ffffff,22
P,5,P,Presqu'île de Séné,,3,https://www.kiceo.fr/carte-interactive-lignes-urbaines,4dbed3,000000,23
